id,status,age,sex,region,area,house_income,ind_income
314,Retained,58,1,1,1,1040,0
384,Retained,51,0,1,1,4200,4000
391,Retained,56,0,1,1,3214,788
324,Retained,61,0,1,1,2788,788
301,Retained,63,0,1,1,1576,1576
304,Retained,85,1,1,1,1576,788
390,Retained,61,0,1,1,100,100
615,Retained,50,1,1,1,2800,2800
618,Retained,57,1,1,1,3330,1830
621,Retained,61,1,1,1,800,0
389,Retained,67,1,1,2,1576,788
366,Retained,65,1,1,2,1250,250
350,Retained,55,0,1,2,1138,788
332,Retained,72,1,1,2,2076,1288
356,Retained,65,1,1,2,3476,788
308,Retained,77,1,1,2,788,788
377,Retained,68,1,1,2,788,788
309,Retained,75,0,1,2,2844,788
351,Retained,52,1,1,2,1742,700
296,Retained,57,1,1,2,2077,1100
297,Retained,94,0,1,2,788,788
387,Retained,54,0,1,2,1056,546
311,Retained,54,1,1,2,3734,700
206,Retained,54,1,1,2,866,300
189,Retained,61,1,1,2,2782,880
190,Retained,63,1,1,2,200,200
372,Retained,64,1,1,2,2364,0
381,Retained,55,0,1,2,3800,500
340,Retained,62,0,1,2,3314,1576
364,Retained,73,1,1,2,3626,788
300,Retained,78,0,1,2,6668,1180
354,Retained,60,0,1,2,1488,600
302,Retained,80,0,1,2,788,788
374,Retained,59,1,1,2,350,250
336,Retained,52,0,1,2,1288,500
362,Retained,57,0,1,2,3881,2511
325,Retained,65,0,1,2,1576,788
361,Retained,58,0,1,2,1710,500
293,Retained,79,0,1,2,4488,1576
268,Retained,55,1,1,2,876,570
266,Retained,64,1,1,2,3341,2061
212,Retained,53,0,1,2,959,800
198,Retained,52,1,1,2,1000,1000
147,Retained,50,1,1,2,0,0
370,Retained,58,1,1,1,5388,900
319,Retained,56,0,1,1,2400,2000
345,Retained,80,1,1,1,11810,2810
359,Retained,73,1,1,1,2120,1088
388,Retained,54,0,1,1,1200,600
358,Retained,68,1,1,1,6400,5000
357,Retained,52,0,1,1,282,0
371,Retained,57,0,1,1,1621,788
292,Retained,78,0,1,1,7698,3152
312,Retained,68,1,1,1,1576,788
349,Retained,55,1,1,1,680,300
348,Retained,74,1,1,1,788,0
225,Retained,56,1,1,2,6313,0
285,Retained,54,0,1,2,720,0
218,Retained,61,1,1,2,1760,880
277,Retained,58,1,1,2,788,394
179,Retained,59,1,1,2,1760,880
315,Retained,75,1,1,1,3064,788
392,Retained,76,1,1,1,788,0
368,Retained,65,1,1,1,4719,1200
329,Retained,70,0,1,1,50,0
347,Retained,65,0,1,1,1038,788
380,Retained,54,0,1,1,1100,788
328,Retained,54,0,1,1,946,0
342,Retained,61,0,1,1,850,0
383,Retained,50,0,1,1,1260,112
369,Retained,64,0,1,1,788,788
338,Retained,68,1,1,1,2650,788
303,Retained,61,1,1,1,2076,1288
360,Retained,94,0,1,1,788,788
365,Retained,69,1,1,1,2364,1576
627,Retained,52,1,1,1,4200,0
620,Retained,52,0,1,1,4200,0
616,Retained,55,0,1,1,3000,2000
622,Retained,55,0,1,1,2900,2900
295,Retained,71,1,1,2,788,788
318,Retained,57,1,1,2,5365,4500
341,Retained,65,1,1,2,605,605
331,Retained,69,1,1,2,1294,988
339,Retained,61,0,1,2,1576,788
317,Retained,65,0,1,2,1646,788
326,Retained,68,1,1,2,2464,888
333,Retained,75,0,1,2,1970,1576
353,Retained,80,1,1,2,2696,938
320,Retained,58,1,1,2,1292,788
346,Retained,73,0,1,2,2044,788
316,Retained,50,1,1,2,690,125
352,Retained,65,0,1,2,0,0
204,Retained,51,1,1,2,884,884
180,Retained,54,1,1,2,880,0
154,Retained,50,1,1,2,2610,2360
205,Retained,53,1,1,2,2200,2200
335,Retained,51,1,1,2,2262,600
323,Retained,82,1,1,2,1956,788
378,Retained,76,0,1,2,2276,788
290,Retained,51,1,1,2,2200,400
373,Retained,52,0,1,2,902,700
291,Retained,83,1,1,2,788,788
382,Retained,51,0,1,2,449,150
294,Retained,65,1,1,2,2028,788
327,Retained,72,0,1,2,1756,788
322,Retained,53,0,1,2,850,0
385,Retained,62,1,1,2,1576,788
337,Retained,52,0,1,2,1188,0
307,Retained,57,1,1,2,1188,0
116,Retained,57,1,1,2,880,880
